Date,Symbol,Open,High,Low,Close,Volume ETH,Volume TUSD,tradecount
3/31/2022,ETHTUSD,3380.58,3443.87,3265,3276.52,255.5482,858855.1822,1445
3/30/2022,ETHTUSD,3397.81,3445.73,3330.06,3386,203.7768,689736.5108,1526
3/29/2022,ETHTUSD,3333.99,3482.81,3330.82,3403.51,279.5741,954468.1524,1816
3/28/2022,ETHTUSD,3294.79,3431.65,3278.9,3330.25,294.4868,987590.2968,1717
3/27/2022,ETHTUSD,3145.73,3300,3128.42,3297.3,194.6103,621519.2447,1127
3/26/2022,ETHTUSD,3104.31,3151.05,3083.76,3142.53,64.5508,201431.8246,480
3/25/2022,ETHTUSD,3110.56,3193.45,3079.69,3102.8,365.6137,1147317.634,1719
3/24/2022,ETHTUSD,3038.52,3128.74,3006.63,3111.07,602.4769,1849855.396,2010
3/23/2022,ETHTUSD,2968.84,3041.33,2920.65,3036,362.0431,1073901.727,731
3/22/2022,ETHTUSD,2892.07,3050.75,2892.07,2968.74,357.8661,1067306.641,854
3/21/2022,ETHTUSD,2858.52,2957.8,2834.98,2897.06,236.7472,687180.4799,591
3/20/2022,ETHTUSD,2956.3,2962.66,2822,2854.39,244.1016,705165.5426,487
3/19/2022,ETHTUSD,2943.81,2985.82,2895.89,2942.48,176.2517,520370.15,420
3/18/2022,ETHTUSD,2799.28,2984.9,2769.17,2942.89,452.1502,1303971.555,906
3/17/2022,ETHTUSD,2773.11,2835.65,2743.98,2814.87,146.5788,408006.1185,372
3/16/2022,ETHTUSD,2618.61,2786.48,2605.9,2765.07,727.243,1955186.021,990
3/15/2022,ETHTUSD,2591.23,2662.95,2506.44,2628.5,473.9319,1224034.305,911
3/14/2022,ETHTUSD,2514,2609.15,2499.82,2586.82,487.903,1251052.722,948
3/13/2022,ETHTUSD,2562.94,2601.32,2496.21,2513.6,244.576,621496.3009,652
3/12/2022,ETHTUSD,2557.68,2612.28,2555.83,2565.25,250.9238,648825.6537,694
3/11/2022,ETHTUSD,2602.38,2677.31,2517.1,2558.07,915.8262,2362834.505,2121
3/10/2022,ETHTUSD,2722.29,2727,2552.28,2609.75,451.45,1176514.68,1305
3/9/2022,ETHTUSD,2583.48,2770.18,2570.03,2731.89,308.8653,833525.4412,793
3/8/2022,ETHTUSD,2495.83,2624.7,2485.94,2573.38,698.477,1783924.656,1456
3/7/2022,ETHTUSD,2552.02,2646.32,2451.56,2494.79,331.3851,838729.652,892
3/6/2022,ETHTUSD,2670.55,2676.29,2540.03,2553.76,397.5748,1042742.756,943
3/5/2022,ETHTUSD,2612.69,2682.66,2596.05,2666.04,66.0225,173950.3328,237
3/4/2022,ETHTUSD,2832.17,2832.39,2578.75,2622.32,292.2624,783604.1433,775
3/3/2022,ETHTUSD,2945.35,2965.81,2787.86,2834.38,169.1503,484267.8845,580
3/2/2022,ETHTUSD,2968.75,3038.37,2916.1,2946.66,252.0189,749715.5344,882
3/1/2022,ETHTUSD,2924.07,3032.89,2856.2,2965.2,378.8612,1116417.992,1138
2/28/2022,ETHTUSD,2618.94,2944.33,2569.74,2921.9,617.0546,1691048.043,1621
2/27/2022,ETHTUSD,2781.32,2833.43,2561.1,2626.26,519.8162,1401336.717,1378
2/26/2022,ETHTUSD,2769.88,2875.9,2732.19,2782.99,276.2289,772797.7171,1135
2/25/2022,ETHTUSD,2601.64,2834.46,2576.09,2766.79,396.0572,1052707.926,1456
2/24/2022,ETHTUSD,2572.03,2733.56,2301.48,2594.6,932.1057,2274486.677,3470
2/23/2022,ETHTUSD,2639.75,2752.64,2578.18,2579.42,407.1959,1082860.517,1443
2/22/2022,ETHTUSD,2578.56,2664.36,2500.71,2633.18,375.3558,969016.0508,1186
2/21/2022,ETHTUSD,2619.99,2756.54,2562.63,2568.16,429.2003,1141866.424,1796
2/20/2022,ETHTUSD,2749.96,2749.96,2577.81,2621.48,301.0944,800204.1393,1145
2/19/2022,ETHTUSD,2776.5,2828.66,2700,2766.11,333.9469,921183.6961,811
2/18/2022,ETHTUSD,2886,2943.47,2756.19,2786.23,391.0223,1111026.092,1000
2/17/2022,ETHTUSD,3119.59,3158.06,2856.57,2885.91,277.0206,827439.0158,1112
2/16/2022,ETHTUSD,3182.87,3186.13,3046.81,3126.13,181.7896,568832.4101,857
2/15/2022,ETHTUSD,2931.49,3193.44,2914.06,3182.77,326.509,1001211.864,1235
2/14/2022,ETHTUSD,2890.48,2964.56,2833.38,2930.6,302.3553,881086.7038,831
2/13/2022,ETHTUSD,2910.49,2950.5,2832.01,2873.25,281.5795,814719.2532,584
2/12/2022,ETHTUSD,2928.41,2985.29,2861.81,2899.38,128.8153,376056.1826,405
2/11/2022,ETHTUSD,3050.78,3130.42,2884.73,2926.94,418.8549,1272644.033,1124
2/10/2022,ETHTUSD,3241.76,3283.82,3062.46,3071.61,439.8205,1403168.221,1515
2/9/2022,ETHTUSD,3116.16,3271.04,3060.87,3243.04,187.5047,592850.7029,867
2/8/2022,ETHTUSD,3149.92,3232.76,3030.19,3122.48,387.0266,1200283.993,1890
2/7/2022,ETHTUSD,3060.29,3188.49,2994.97,3139.97,400.7629,1243425.719,2284
2/6/2022,ETHTUSD,3022.53,3075.48,2954.57,3056.54,97.0863,292237.5775,449
2/5/2022,ETHTUSD,2999,3067.41,2963.87,3018.45,234.1473,706066.0402,788
2/4/2022,ETHTUSD,2692.65,2996.08,2674.27,2996.08,289.6539,828871.4521,959
2/3/2022,ETHTUSD,2690.31,2726.49,2577.94,2696.39,136.9356,360862.6805,581
2/2/2022,ETHTUSD,2793.25,2810.93,2615.08,2686.77,182.1971,494011.8504,921
2/1/2022,ETHTUSD,2685.69,2814.63,2681.38,2792.79,274.4827,760456.6851,1542
